NEWID,Income Class,Education,Division,Family Type,Area Type,QINTRVMO,QINTRVYR,AGE_REF,AGE2,SEX_REF,SEX2,REF_RACE,RACE2,NUM_AUTO,NUM_TVAN,OCCUCOD1,OCCUCOD2,MARITAL1,REGION,POPSIZE,CUTENURE,VEHQ,VEHQL,FINCBTXM,INC_RANK,FAM_SIZE,CHILDAGE,PERSLT18,PERSOT64,AS_COMP1,AS_COMP2,AS_COMP3,AS_COMP4,AS_COMP5,FOODCQ,FDAWAYCQ,ALCBEVCQ,RENDWECQ,ALLFULCQ,BBYDAYCQ,TEXTILCQ,FURNTRCQ,APPARCQ,MENBOYCQ,MENSIXCQ,BOYFIFCQ,GRLFIFCQ,CHLDRNCQ,FOOTWRCQ,OTHAPLCQ,TRANSCQ,CARTKNCQ,CARTKUCQ,GASMOCQ,PUBTRACQ,ENTERTCQ,PETTOYCQ,PERSCACQ,READCQ,TOTEXPCQ
4267524,2,10,1,8,1,July,2020,64,,1,,1,,1,0,,,4,1,2,4,1,0,14407,0.2076602,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4269183,3,10,3,5,1,April,2020,73,63,1,2,1,1,0,0,,,1,2,1,1,0,0,83243,0.4456595,10,7,4,1,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4270124,1,10,2,8,1,July,2020,56,,2,,1,,1,0,,,4,1,2,4,1,0,8443,0.160314,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4272533,4,10,7,1,1,April,2020,48,50,2,1,2,2,1,0,8,11,1,3,2,4,1,0,74000,0.6395477,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4272724,3,10,9,3,1,July,2020,35,41,1,2,1,1,1,3,11,,1,4,1,4,4,0,27600,0.3338336,5,2,3,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4272924,2,10,6,8,2,July,2020,79,,2,,1,,0,0,,,5,3,4,2,0,0,10207,0.1706881,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4273064,7,10,2,8,1,July,2020,62,,2,,1,,3,0,1,,5,1,1,2,3,0,65093,0.0484665,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4274703,2,10,5,8,1,April,2020,82,,2,,2,,0,0,,,2,3,1,4,0,0,15892.6,0.3333433,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4274704,3,10,5,8,1,July,2020,87,,2,,2,,0,0,,,2,3,1,4,0,0,22312,0.4131193,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4275103,1,10,9,8,1,April,2020,82,,2,,4,,0,1,,,2,4,3,2,1,0,10342.4,0.1643054,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4275104,2,10,9,8,1,July,2020,82,,2,,4,,0,1,,,2,4,3,2,1,0,13844,0.2020749,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4275343,2,10,1,9,1,April,2020,58,,2,,1,,0,0,10,,5,1,3,4,0,0,20196,0.2558997,3,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4275344,2,10,1,9,1,July,2020,58,,2,,1,,0,0,10,,5,1,3,4,0,0,11525,0.1799934,3,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4277193,2,10,6,8,1,April,2020,77,,2,,1,,0,0,,,5,3,4,1,0,0,11215,0.1698262,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4277194,2,10,6,8,1,July,2020,77,,2,,1,,0,0,,,5,3,4,1,0,0,10327,0.1716585,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4277873,3,10,2,1,1,May,2020,65,65,2,1,1,1,0,2,,11,1,1,4,2,2,0,47184,0.4924917,2,0,0,2,1,1,0,0,0,307.6667,104,80,0,154,0,0,0,0,0,0,0,0,0,0,0,40,0,0,40,0,183,67,0,0,2016.1667
